LOINC_NUM,COMPONENT
100746-7,Glucose
100747-5,Legionella serogroup panel
100748-3,Legionella spp
100749-1,Legionella pneumophila serogroup 1
10075-0,S' wave duration.lead III
100750-9,Legionella pneumophila non serogroup 1
100751-7,"Galactose-alpha-1,3-galactose panel"
100752-5,Exacerbating factors
100753-3,Alleviating factors
100754-1,Platelet disorders multigene analysis
100755-8,Protein fractions.oligoclonal bands
100756-6,Protein fractions.oligoclonal bands
100757-4,Protein fractions.oligoclonal bands panel
100758-2,Estimated lung age
100759-0,Inspiratory reserve
100760-8,View
100761-6,PALB2 gene targeted mutation analysis
100762-4,HBA2 gene.c.377T>C
100763-2,Mycobacterium sp comparative reaction interpretation
100764-0,Mycobacterium bovis reaction wheal^3D post dose mammalian tuberculin ID
100765-7,Homocysteine & Methylmalonate & 2-Methylcitrate panel
100766-5,Center for Epidemiologic Studies Depression Scale panel
100767-3,Bothered by things that are not usually bothersome
10076-8,S' wave duration.lead V1
100768-1,Poor appetite
100769-9,Unhappy even with help from my family or friends
100770-7,Feeling just as good as others
100771-5,Trouble focusing
100772-3,Feeling depressed
100773-1,Feeling everything is too much of an effort
100774-9,Feeling hopeful about the future
100775-6,Feeling life had been a failure
10077-6,S' wave duration.lead V2
100776-4,Feeling fearful
100777-2,Restless sleep
100778-0,Feeling happy
100779-8,Quieter than usual
100780-6,Feeling lonely
100781-4,People were unfriendly
100782-2,Enjoying life
100783-0,Crying spells
10078-4,S' wave duration.lead V3
100784-8,Feeling sad
100785-5,Feeling people dislike me
100786-3,Lack of energy
100787-1,Total Score
100788-9,Stemphylium botryosum Ab.IgG4
100789-7,Rhizopus nigricans Ab.IgG4
100790-5,Lepidoglyphus destructor Ab.IgG
100791-3,Hamster epithelium Ab.IgG
10079-2,S' wave duration.lead V4
100792-1,Forsythia Ab.IgE
100793-9,Testosterone
100794-7,Follitropin
100795-4,S100 calcium binding protein B
100796-2,Thyroglobulin
100797-0,Testosterone.free^1st specimen post XXX challenge
100798-8,Testosterone.free^2nd specimen post XXX challenge
100799-6,21-Deoxycortisol^1st specimen post XXX challenge
100-8,Cefoperazone
10080-0,S' wave duration.lead V5
100800-2,21-Deoxycortisol^2nd specimen post XXX challenge
100801-0,21-Deoxycortisol^3rd specimen post XXX challenge
100802-8,21-Deoxycortisol^4th specimen post XXX challenge
100803-6,21-Deoxycortisol^5th specimen post XXX challenge
100804-4,Vasopressin^1st specimen post XXX challenge
100805-1,Vasopressin^2nd specimen post XXX challenge
100806-9,Vasopressin^3rd specimen post XXX challenge
100807-7,Vasopressin^4th specimen post XXX challenge
100808-5,Vasopressin^5th specimen post XXX challenge
100809-3,Vasopressin^6th specimen post XXX challenge
100810-1,Vasopressin^7th specimen post XXX challenge
100811-9,Vasopressin^8th specimen post XXX challenge
100812-7,Vasopressin^9th specimen post XXX challenge
100813-5,Vasopressin^10th specimen post XXX challenge
100814-3,Vasopressin^11th specimen post XXX challenge
100815-0,Vasopressin^12th specimen post XXX challenge
100816-8,Glucagon^6th specimen post XXX challenge
100817-6,Glucagon^7th specimen post XXX challenge
10081-8,S' wave duration.lead V6
100818-4,Renin^1st specimen post XXX challenge
100819-2,Renin^2nd specimen post XXX challenge
1008-2,Indirect antiglobulin test.polyspecific reagent
100820-0,Renin^3rd specimen post XXX challenge
100821-8,POLST panel
100822-6,Cardiopulmonary resuscitation orders
100823-4,Initial portable medical treatment orders
100824-2,Additional portable medical orders or instructions
100825-9,Medically assisted nutrition orders
10082-6,ST initial amplitude 6 ms.lead AVF
100826-7,Portable medical order &or advance directive review
100827-5,Portable medical order discussion participants
100828-3,Portable medical order administrative information
100829-1,Renin^4th specimen post XXX challenge
100830-9,Alpha subunit.free^1st specimen post XXX challenge
100831-7,Alpha subunit.free^2nd specimen post XXX challenge
100832-5,Alpha subunit.free^3rd specimen post XXX challenge
100833-3,Alpha subunit.free^4th specimen post XXX challenge
10083-4,ST initial amplitude 6 ms.lead AVL
100834-1,Alpha subunit.free^5th specimen post XXX challenge
100835-8,Alpha subunit.free^6th specimen post XXX challenge
100836-6,Alpha subunit.free^7th specimen post XXX challenge
100837-4,Insulin-like growth factor-I^9th specimen post XXX challenge
100838-2,Testosterone^9th specimen post XXX challenge
100839-0,Vitamin A/Retinol binding protein
100840-8,IgE
100841-6,Zinc finger protein of the cerebellum 4 Ab
10084-2,ST initial amplitude 6 ms.lead AVR
100842-4,Nonalcoholic steatohepatitis score
100843-2,Liver fibrosis score
100844-0,Liver fibrosis score
100845-7,Neurofascin155 Ab.IgG4
100846-5,Dengue virus 1+2+3+4 non-structural protein 1 (nsP1) Ab.IgG
100847-3,Gas & ammonia panel
100848-1,Cell count & Differential panel
100849-9,Leukocytes
100850-7,Neutrophils
100851-5,Other cells
100852-3,Views for metastasis^W Sr-89 IV
100853-1,Pericardial effusion
100854-9,Lymphocytes/100 Cells
100855-6,Cells.CD3/100 cells
100856-4,Cells.CD3+CD4+/100 cells
100857-2,Cells.CD3+CD8+/100 cells
100858-0,Cells.CD4+CD154+/Cells.CD4^after stimulation with SARS-CoV-2 Spike peptide
10085-9,ST initial amplitude 6 ms.lead I
100859-8,Cells.CD4.Interferon gamma-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Spike peptide
100860-6,Cells.CD4.Tumor necrosis factor alfa-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Spike peptide
100861-4,Cells.CD4+CD154+/Cells.CD4^after stimulation with SARS-CoV-2 Nucleocapsid peptide
100862-2,Cells.CD4.Interferon gamma-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Nucleocapsid peptide
100863-0,Cells.CD4.Tumor necrosis factor alfa-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Nucleocapsid peptide
100864-8,Giardia lamblia bg gene
100865-5,Avian schistosomes DNA
100866-3,Febrile antibody profile
10086-7,ST initial amplitude 6 ms.lead II
100867-1,Campylobacter jejuni+coli+lari+upsaliensis Ag
100868-9,Cryptosporidium sp 18S-LC2 rRNA
100869-7,Cryptosporidium gp60 gene
100870-5,Cryptosporidium 18S rRNA
100871-3,Giardia lamblia gdh gene
100872-1,Bacteria producing polysaccharide from sucrose
100873-9,Giardia lamblia tpi gene
100874-7,Basidiobolus sp
10087-5,ST initial amplitude 6 ms.lead III
100875-4,Multisection limited
100876-2,Multisection
100877-0,Multisection transesophageal^during surgery
100878-8,Endoscopic ultrasound study
100879-6,Guidance for cryoablation
100880-4,Guidance for cryoablation
100881-2,Guidance for cryoablation
100882-0,Multisection^W contrast percutaneous intraperitoneal
10088-3,ST initial amplitude 6 ms.lead V1
100883-8,Guidance for percutaneous biopsy
100884-6,Guidance for percutaneous biopsy
100885-3,Parapoxvirus DNA
100886-1,Orf virus DNA
100887-9,Pseudocowpox virus DNA
100888-7,Monkeypox virus clade II DNA
100889-5,Monkeypox virus clade I DNA
100890-3,Poxvirus DNA panel
10089-1,ST initial amplitude 6 ms.lead V2
100891-1,Orthopoxvirus Ab.IgG
100892-9,Orthopoxvirus Ab.IgM
100893-7,Orthopoxvirus IgG & IgM Ab panel
100894-5,Recommended screening frequency
100895-2,Rickettsia conorii Ab.IgG & IgM
100896-0,Vasopressin^13th specimen post XXX challenge
100897-8,Staphylococcus aureus
100898-6,Lipid panel
100899-4,Enterobacteriaceae.extended spectrum beta lactamase resistance phenotype
1009-0,Direct antiglobulin test.poly specific reagent
100900-0,Enterobacteriaceae.carbapenem resistance panel
100901-8,Enterobacteriaceae.carbapenemase resistance phenotype
100902-6,Enterobacteriaceae.carbapenemase resistance phenotype.OXA-48
100903-4,Yeast & Candida sp identification panel
100904-2,Urinary tract pathogens panel
100905-9,Gram positive bacteria identified
100906-7,Bacteria
100907-5,Enterococcus species.vancomycin resistant
100908-3,Pseudomonas aeruginosa
10090-9,ST initial amplitude 6 ms.lead V3
100909-1,Cronobacter sakazakii
100910-9,Gram negative bacteria.colistin resistant identified
100911-7,Campylobacter sp
100912-5,Enterobacteriaceae.extended spectrum beta lactamase resistance phenotype & Enterococcus species.vancomycin resistant panel
100913-3,Staph aureus and MRSA screening panel
100914-1,Protein.abnormal band
100915-8,Burr cells
100916-6,User satisfaction score
10091-7,ST initial amplitude 6 ms.lead V4
100917-4,Product of interest effectiveness
100918-2,Product of interest usability
100919-0,Access to help with product of interest
100920-8,Satisfied with product of interest
100921-6,User satisfaction panel
100922-4,Privacy panel
100923-2,Privacy score
100924-0,Safe and secure healthcare data
10092-5,ST initial amplitude 6 ms.lead V5
100925-7,Healthcare data exchanged as needed
100926-5,Access to review healthcare data
100927-3,Satisfied with healthcare data use
100928-1,Digital confidence panel
100929-9,Digital confidence score
100930-7,Digital device use
100931-5,Friends use digital devices
100932-3,Access to help with digital devices
10093-3,ST initial amplitude 6 ms.lead V6
100933-1,Confident using digital devices
100934-9,Personal safety panel
100935-6,Personal safety score
100936-4,Feel safe at home
100937-2,Feel respected at home
100938-0,Feel safe outside home
100939-8,Feel respected outside home
100940-6,Neighbor relationships panel
10094-1,ST slope.lead AVF
100941-4,Neighbor relationships score
100942-2,Neighbors and I know each other
100943-0,Neighbors and I trust each other
100944-8,Neighbors and I share information
100945-5,Neighbors and I help each other
100946-3,Loneliness Office of National Statistics score
100947-1,Frequency of having no one to talk to
100948-9,Frequency of feeling left out
100949-7,Frequency of feeling alone
100950-5,Frequency of feeling lonely
100951-3,Loneliness Office of National Statistics panel
100952-1,Product confidence panel
100953-9,Product confidence score
100954-7,Product of interest use
100955-4,Confident using product of interest
100956-2,Understand potential benefits of product of interest
100957-0,Understand potential problems of product of interest
10095-8,ST slope.lead AVL
100958-8,Digital readiness panel
100959-6,Digital readiness score
100960-4,New ideas are needed in field of work
100961-2,Follow new ideas in field of work
100962-0,Dengue virus Ab.IgG Panel
100963-8,Dengue virus 1+2+3+4 non-structural protein 1 (nsP1) Ab.IgG
100964-6,Dengue virus Ab.IgG
100965-3,Dengue virus Ab.IgG
10096-6,ST slope.lead AVR
100966-1,Oncofertility consultation note
100967-9,Fetal Heart Tracing
100968-7,Bovine Tuberculosis Comparative Cervical Test panel
100969-5,Pathology report.additional specified observation
100970-3,Portable medical order completion information
100971-1,Clinical record panel
100972-9,Influenza virus A & Influenza virus B & SARS coronavirus 2 RNA panel
100973-7,Influenza virus A RNA
10097-4,ST slope.lead I
100974-5,Influenza virus B RNA
100975-2,Induced abortion method
100976-0,Eosinophil derived neurotoxin
100977-8,JC virus Ab Index
100978-6,Thyroxine.free.gestational
100979-4,Atopobium vaginae DNA
100980-2,BK Virus DNA
100981-0,Parvovirus B19 DNA
10098-2,ST slope.lead II
100982-8,Varicella Zoster Virus DNA
100983-6,HIV reverse transcriptase failed codons
100984-4,HIV 1 group M RNA genotype
100985-1,HIV protease failed codons
100986-9,HIV integrase failed codons
100987-7,Lymphocyte T-cell & B-cell & Natural killer subsets panel
100988-5,Phosphoglucomutase
100989-3,Phosphoglucomutase
10099-0,ST slope.lead III
100990-1,Blood group antigens panel
100991-9,CD52 cell expression evaluation
100992-7,CD20 cell expression evaluation
100993-5,CD49d cell expression evaluation
100994-3,B-cell CD19 & CD20 subsets panel
100995-0,Laceyella sacchari Ab.IgG
100996-8,Neurofilament light chain
100997-6,"Respiratory Allergen Panel, Area 5"
100998-4,Cortisol post dose insulin IV panel
100999-2,Somatotropin post dose insulin IV panel
101000-8,Health informatics leader and champion of semantic interoperability
101001-6,Chief technical architect and steadfast leader of LOINC
101002-4,Monkeypox virus sequencing panel
101003-2,Monkeypox virus clade
101004-0,Monkeypox virus lineage
101005-7,Discharge summary note
10100-6,ST slope.lead V1
101006-5,Discharge summary note
101007-3,Discharge summary note
101008-1,History and physical note
101009-9,History and physical note
101010-7,History and physical note
101011-5,History and physical note
101012-3,History and physical note
101013-1,History and physical note
10101-4,ST slope.lead V2
101014-9,History and physical note
101015-6,History and physical note
101016-4,History and physical note
101017-2,History and physical note
101018-0,History and physical note
101019-8,History and physical note
101020-6,History and physical note
101021-4,History and physical note
10102-2,ST slope.lead V3
101022-2,History and physical note
101023-0,History and physical note
101024-8,History and physical note
101025-5,History and physical note
101026-3,History and physical note
101027-1,History and physical note
101028-9,History and physical note
101029-7,History and physical note
10103-0,ST slope.lead V4
101030-5,History and physical note
101031-3,Consultation note
101032-1,Consultation note
101033-9,Procedure note
101034-7,Procedure note
101035-4,Procedure note
101036-2,Progress note
101037-0,Progress note
101038-8,Consultation note
101039-6,Progress note
101040-4,Procedure note
101041-2,Procedure note
101042-0,Progress note
101043-8,Consultation note
101044-6,Procedure note
101045-3,Procedure note
101046-1,Progress note
101047-9,Consultation note
10104-8,ST slope.lead V5
101048-7,Consultation note
101049-5,Surgical operation note
101050-3,Surgical operation note
101051-1,Surgical operation note
101052-9,Consultation note
101053-7,Evaluation note
101054-5,Note
10105-5,ST slope.lead V6
101055-2,Conference note
101056-0,Conference note
101057-8,Admission evaluation note
101058-6,Conference note
101059-4,Letter
101060-2,A little n super little a Ab
101061-0,B little e super little a Ab
101062-8,BARC Ab
10106-3,ST wave displacement.end.lead AVF
101063-6,C little o3 Ab
101064-4,C little o3 Ag
101065-1,C little o4 Ab
101066-9,C little r super little a Ab
101067-7,C little s super little b Ab
101068-5,C little s super little b Ag
101069-3,CE Ab
101070-1,CEAG Ab
10107-1,ST wave displacement.end.lead AVL
101071-9,CELO Ab
101072-7,CENR Ab
101073-5,CEST Ab
101074-3,CEVF Ab
101075-0,Crawford Ab
101076-8,D little h super little a Ab
101077-6,D little r super little a Ab
101078-4,D little w Ab
101079-2,DAK Ab
1010-8,E super little w Ab
101080-0,E little n super little a Ab
101081-8,E little s super little a Ab
101082-6,Evans Ab
101083-4,F little y5 Ab
101084-2,FPTT Ab
101085-9,G little e1 Ab
101086-7,G little e2 Ab
101087-5,G little e2 Ag
101088-3,G little e3 Ab
10108-9,ST wave displacement.end.lead AVR
101089-1,G little e3 Ag
101090-9,G little e4 Ab
101091-7,H little r super little s Ab
101092-5,H little r super B Ab
101093-3,H little u little t Ab
101094-1,I little n super little a Ab
101095-8,IFC Ab
101096-6,J little o super little a Ab
10109-7,ST wave displacement.end.lead I
101097-4,JAHK Ab
101098-2,JMH Ag
101099-0,K little m Ab
101100-6,K little u Ag
101101-4,K little x Ab
101102-2,K little x Ag
101103-0,C super G Ab
101104-8,Minimum Data Set (MDS) - version 3.0 - Resident Assessment Instrument (RAI) version 1.18.11
